lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
0	1	2021.9068493150685	2021.8953150342445	nonENG	2021.9068493150685	2021.9068493150685
1	1	2021.9506849315069	2021.8977545277555	nonENG	2021.9506849315069	2021.9506849315069
2	1	2022.0328767123287	2021.9613761692665	nonENG	2022.0328767123287	2022.0328767123287
3	2	2022.0145535798504	2021.9944291806455	nonENG	2022.021917808219	2022.035616438356
4	1	2022.021917808219	2022.0089324020876	nonENG+ENG	2022.021917808219	2022.021917808219
5	1	2022.06301369863	2021.9956677569987	nonENG	2022.06301369863	2022.06301369863
6	1	2022.0301369863012	2021.9739420216813	nonENG	2022.0301369863012	2022.0301369863012
7	1	2022.049315068493	2022.0364846350665	nonENG	2022.049315068493	2022.049315068493
8	1	2021.9643823153392	2021.95668877504	nonENG	2021.964383561644	2021.964383561644
9	1	2022.024657534247	2022.0158200028195	nonENG	2022.024657534247	2022.024657534247
10	1	2022.06301369863	2022.0284332905676	nonENG	2022.06301369863	2022.06301369863
11	1	2022.0082191780823	2021.9954832640956	nonENG	2022.0082191780823	2022.0082191780823
12	1	2022.06301369863	2022.0038838506289	nonENG	2022.06301369863	2022.06301369863
13	1	2022.0301369863012	2022.0275296730576	nonENG	2022.0301369863012	2022.0301369863012
14	1	2021.9890410958903	2021.988161610748	nonENG	2021.9890410958903	2021.9890410958903
15	1	2022.0	2021.972904421844	nonENG	2022.0	2022.0
16	1	2021.9890410958903	2021.9730084803916	nonENG	2021.9890410958903	2021.9890410958903
17	1	2022.0	2021.964504208942	nonENG	2022.0	2022.0
18	1	2022.054794520548	2021.969043667436	nonENG	2022.054794520548	2022.054794520548
19	1	2021.9890410958903	2021.976095976745	nonENG	2021.9890410958903	2021.9890410958903
20	1	2022.0054794520547	2021.9793255338543	nonENG	2022.0054794520547	2022.0054794520547
21	2	2021.997899018625	2021.9826136671363	nonENG	2022.0164383561644	2022.021917808219
22	1	2022.024657534247	2022.0223442401737	nonENG	2022.024657534247	2022.024657534247
23	1	2022.027397260274	2021.984423570488	nonENG	2022.027397260274	2022.027397260274
24	1	2022.0602739726028	2021.9644876316288	nonENG	2022.0602739726028	2022.0602739726028
25	1	2021.9506849315069	2021.937581292088	nonENG	2021.9506849315069	2021.9506849315069
26	1	2022.0794520547945	2021.9822356702712	nonENG	2022.0794520547945	2022.0794520547945
27	1	2022.0712328767124	2022.019455891528	nonENG	2022.0712328767124	2022.0712328767124
28	1	2022.0054794520547	2022.0046715154008	nonENG	2022.0054794520547	2022.0054794520547
29	1	2022.0821917808216	2021.978556368694	nonENG	2022.0821917808216	2022.0821917808216
30	1	2022.0821917808216	2021.964880513514	nonENG	2022.0821917808216	2022.0821917808216
31	3	2021.9702438137244	2021.9475043206464	nonENG	2021.986301369863	2022.049315068493
32	1	2021.9890410958903	2021.9467750353815	nonENG	2021.9890410958903	2021.9890410958903
33	60	2021.9253840283031	2021.8940461369548	nonENG	2021.928767123288	2022.0821917808216
34	1	2021.9765365115095	2021.9624272358335	nonENG+ENG	2022.021917808219	2022.021917808219
35	3	2022.0044008608763	2021.9924790881744	nonENG	2022.0082191780823	2022.0684931506848
36	1	2022.0520547945205	2021.9896127385064	nonENG	2022.0520547945205	2022.0520547945205
37	4	2021.9810123302748	2021.97094171552	nonENG	2022.0	2022.013698630137
38	1	2022.0082191780823	2021.9392674856588	nonENG	2022.0082191780823	2022.0082191780823
39	1	2021.9972602739729	2021.968535658773	nonENG	2021.9972602739729	2021.9972602739729
40	1	2022.0383561643837	2021.9655527398825	nonENG	2022.0383561643837	2022.0383561643837
41	2	2022.031142086944	2021.998699717744	nonENG	2022.0328767123287	2022.0328767123287
42	1	2021.904109589041	2021.894555727995	nonENG	2021.904109589041	2021.904109589041
43	1	2022.0082191780823	2021.980961502088	nonENG	2022.0082191780823	2022.0082191780823
44	1	2021.9616438356163	2021.9608058451304	nonENG	2021.9616438356163	2021.9616438356163
45	2	2022.059937512875	2022.012490245438	nonENG	2022.0684931506848	2022.0821917808216
46	1	2021.9232876712329	2021.9118631491444	nonENG	2021.9232876712329	2021.9232876712329
47	1	2022.0301369863012	2021.970311414726	nonENG	2022.0301369863012	2022.0301369863012
48	1	2022.0383561643837	2022.0148395859144	nonENG	2022.0383561643837	2022.0383561643837
49	2	2022.02090207477	2021.9960408452357	nonENG	2022.0301369863012	2022.07397260274
50	1	2022.0821917808216	2022.0281909823664	nonENG	2022.0821917808216	2022.0821917808216
51	2	2022.000765551283	2021.9831021615184	nonENG	2022.021917808219	2022.0684931506848
52	1	2022.0465753424655	2021.9681751771757	nonENG	2022.0465753424655	2022.0465753424655
53	1	2022.0821917808216	2021.994744637649	nonENG	2022.0821917808216	2022.0821917808216
54	1	2022.0794520547945	2021.96521741022	nonENG	2022.0794520547945	2022.0794520547945
55	3	2022.0154159768351	2022.0046348579451	nonENG	2022.027397260274	2022.06301369863
56	1	2021.9917808219177	2021.9794146338145	nonENG	2021.9917808219177	2021.9917808219177
57	1	2022.06301369863	2022.044477853441	nonENG	2022.06301369863	2022.06301369863
58	3	2022.019159619413	2022.014274841294	nonENG	2022.0438356164384	2022.0657534246573
59	1	2022.0712328767124	2022.000285250164	nonENG	2022.0712328767124	2022.0712328767124
60	1	2021.9616438356163	2021.9519521056104	nonENG	2021.9616438356163	2021.9616438356163
61	1	2022.0821917808216	2022.0274368040173	nonENG	2022.0821917808216	2022.0821917808216
62	2	2021.978132149856	2021.957414413184	nonENG	2022.0438356164384	2022.0520547945205
63	1	2022.013698630137	2021.990743724435	nonENG	2022.013698630137	2022.013698630137
64	1	2022.021917808219	2021.990743724435	nonENG	2022.021917808219	2022.021917808219
65	1	2022.0082191780823	2022.0074630455547	nonENG	2022.0082191780823	2022.0082191780823
66	1	2022.0767123287671	2022.0385056893488	nonENG	2022.0767123287671	2022.0767123287671
67	1	2022.07397260274	2022.0299754471373	nonENG	2022.07397260274	2022.07397260274
68	2	2022.0388251676409	2022.0010055818632	nonENG	2022.0684931506848	2022.0821917808216
69	1	2022.07397260274	2021.9891562856417	nonENG	2022.07397260274	2022.07397260274
70	1	2022.0301369863012	2022.011590568484	nonENG	2022.0301369863012	2022.0301369863012
71	1	2022.0438356164384	2022.0188677370716	nonENG	2022.0438356164384	2022.0438356164384
72	1	2021.9917808219177	2021.985181956038	nonENG	2021.9917808219177	2021.9917808219177
73	1	2021.983561643836	2021.966493311092	nonENG	2021.983561643836	2021.983561643836
74	6	2021.946483823019	2021.943499366588	nonENG	2021.9616438356163	2022.0821917808216
75	8	2021.9746258544528	2021.9643771136243	nonENG	2021.983561643836	2022.0657534246573
76	1	2021.9561643835616	2021.9479392029275	nonENG	2021.9561643835616	2021.9561643835616
77	1	2022.0712328767124	2021.9812936738729	nonENG	2022.0712328767124	2022.0712328767124
78	1	2022.049315068493	2021.9942273359115	nonENG	2022.049315068493	2022.049315068493
79	1	2022.0684931506848	2022.0150359342092	nonENG	2022.0684931506848	2022.0684931506848
80	1	2022.0465753424655	2022.034930447977	nonENG	2022.0465753424655	2022.0465753424655
81	1	2022.021917808219	2021.9805790912176	nonENG	2022.021917808219	2022.021917808219
82	1	2022.049315068493	2022.0414961171884	nonENG	2022.049315068493	2022.049315068493
83	1	2021.983561643836	2021.9800849300989	nonENG	2021.983561643836	2021.983561643836
84	1	2022.0684931506848	2022.021943621148	nonENG	2022.0684931506848	2022.0684931506848
85	2	2021.999770029657	2021.9745628342532	nonENG	2022.0602739726028	2022.0684931506848
86	1	2022.0794520547945	2021.9633311797088	nonENG	2022.0794520547945	2022.0794520547945
87	2	2022.03625281226	2022.008728127684	nonENG	2022.06301369863	2022.0821917808216
88	1	2022.0438356164384	2022.019389117974	nonENG	2022.0438356164384	2022.0438356164384
89	1	2021.9561643835616	2021.9470479613303	nonENG	2021.9561643835616	2021.9561643835616
90	9	2022.00901387032	2021.965941870362	nonENG	2022.027397260274	2022.0794520547945
91	3	2022.0055561331087	2021.972278726194	nonENG	2022.035616438356	2022.0821917808216
92	1	2022.024657534247	2021.9695508200205	nonENG	2022.024657534247	2022.024657534247
93	1	2022.0602739726028	2022.0375627181368	nonENG	2022.0602739726028	2022.0602739726028
94	1	2022.013698630137	2021.9995929234076	nonENG	2022.013698630137	2022.013698630137
95	2	2022.0198729729216	2021.9611373501264	nonENG	2022.0328767123287	2022.049315068493
96	1	2022.027397260274	2022.0133980909973	nonENG	2022.027397260274	2022.027397260274
97	1	2022.021917808219	2021.9966409044755	nonENG	2022.021917808219	2022.021917808219
98	1	2022.0821917808216	2021.9941850638752	nonENG	2022.0821917808216	2022.0821917808216
99	3	2021.9795100492352	2021.9705018028487	nonENG	2022.0054794520547	2022.0520547945205
100	1	2022.021917808219	2022.0042301520195	nonENG	2022.021917808219	2022.021917808219
101	1	2022.0520547945205	2022.022075880998	nonENG	2022.0520547945205	2022.0520547945205
102	1	2022.054794520548	2021.9838554672056	nonENG	2022.054794520548	2022.054794520548
103	1	2022.0465753424655	2022.006239950986	nonENG	2022.0465753424655	2022.0465753424655
104	1	2022.0383561643837	2022.004299458873	nonENG	2022.0383561643837	2022.0383561643837
105	1	2021.9698630136984	2021.965178142464	nonENG	2021.9698630136984	2021.9698630136984
106	1	2022.0602739726028	2022.0372405947592	nonENG	2022.0602739726028	2022.0602739726028
107	1	2021.9506849315069	2021.9443076663208	nonENG	2021.9506849315069	2021.9506849315069
108	1	2021.9479452054795	2021.9402657163744	nonENG	2021.9479452054795	2021.9479452054795
109	1	2021.983561643836	2021.974370603072	nonENG	2021.983561643836	2021.983561643836
110	1	2021.9534246575345	2021.935042887793	nonENG	2021.9534246575345	2021.9534246575345
111	1	2022.024657534247	2022.012363996603	nonENG	2022.024657534247	2022.024657534247
112	4	2022.0362058084715	2022.0034051884984	nonENG	2022.0520547945205	2022.0794520547945
113	1	2022.0301369863012	2022.0124893780985	nonENG	2022.0301369863012	2022.0301369863012
114	1	2022.0109589041097	2021.973325539147	nonENG	2022.0109589041097	2022.0109589041097
115	1	2022.027397260274	2022.0184430485167	nonENG	2022.027397260274	2022.027397260274
116	1	2022.0767123287671	2022.039630217336	nonENG	2022.0767123287671	2022.0767123287671
117	1	2022.049315068493	2022.00020781132	nonENG	2022.049315068493	2022.049315068493
118	3	2022.036785843984	2022.0328233032064	nonENG	2022.0602739726028	2022.07397260274
119	1	2022.0301369863012	2021.977728227392	nonENG	2022.0301369863012	2022.0301369863012
120	1	2022.041095890411	2021.995462098208	nonENG	2022.041095890411	2022.041095890411
121	1	2022.0109589041097	2021.9931820325885	nonENG	2022.0109589041097	2022.0109589041097
122	1	2022.0575342465756	2021.965451473309	nonENG	2022.0575342465756	2022.0575342465756
123	1	2022.0301369863012	2021.977387350505	nonENG	2022.0301369863012	2022.0301369863012
124	2	2021.9915402329696	2021.971197688682	nonENG	2022.013698630137	2022.019178082192
125	3	2022.0154908154057	2021.9927912879643	nonENG	2022.07397260274	2022.0794520547945
126	4	2021.9691552065367	2021.9466105885176	nonENG	2021.986301369863	2022.041095890411
