lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
72	2	2022.0426868754928	2021.986477551069	nonENG	2022.0465753424655	2022.049315068493
73	1	2022.0794520547945	2021.9700462594628	nonENG	2022.0794520547945	2022.0794520547945
74	2	2022.030771383204	2021.979868309944	nonENG	2022.0520547945205	2022.054794520548
75	1	2022.054794520548	2022.0013703857628	nonENG	2022.054794520548	2022.054794520548
76	2	2022.0166611474103	2021.9996616254612	nonENG	2022.024657534247	2022.024657534247
77	7	2021.9657744537903	2021.959801263189	nonENG	2021.972602739726	2022.0821917808216
78	1	2022.043343243168	2022.0323675631391	nonENG	2022.07397260274	2022.07397260274
79	1	2022.021917808219	2021.9816661406096	nonENG	2022.021917808219	2022.021917808219
80	1	2021.9890410958903	2021.9856342127987	nonENG	2021.9890410958903	2021.9890410958903
81	1	2021.9671232876717	2021.9556585983748	nonENG	2021.9671232876717	2021.9671232876717
82	1	2021.958904109589	2021.958133848604	nonENG	2021.958904109589	2021.958904109589
83	1	2022.0164383561644	2021.9772359818735	nonENG	2022.0164383561644	2022.0164383561644
84	1	2021.9890410958903	2021.9559703154423	nonENG	2021.9890410958903	2021.9890410958903
85	1	2022.013698630137	2021.9625760428733	nonENG	2022.013698630137	2022.013698630137
86	1	2021.9808219178085	2021.9479708139495	nonENG	2021.9808219178085	2021.9808219178085
87	1	2022.0602739726028	2022.0087476931933	nonENG	2022.0602739726028	2022.0602739726028
88	1	2022.024657534247	2022.0191049996777	nonENG	2022.024657534247	2022.024657534247
89	2	2021.9664976457564	2021.955254309132	nonENG	2021.9698630136984	2022.0109589041097
90	1	2021.9972602739729	2021.9959578123523	nonENG+ENG	2021.9972602739729	2021.9972602739729
91	2	2021.960439775717	2021.9568166653637	nonENG	2021.9616438356163	2022.024657534247
92	1	2022.024657534247	2021.9806656215496	nonENG	2022.024657534247	2022.024657534247
93	1	2022.054794520548	2021.982769131816	nonENG	2022.054794520548	2022.054794520548
94	1	2021.9534246575345	2021.9505283184492	nonENG	2021.9534246575345	2021.9534246575345
95	1	2022.0054794520547	2021.9960348551087	nonENG	2022.0054794520547	2022.0054794520547
96	1	2022.0465753424655	2022.0003635744129	nonENG	2022.0465753424655	2022.0465753424655
97	1	2022.027397260274	2021.9451449728765	nonENG	2022.027397260274	2022.027397260274
98	1	2022.024657534247	2021.99876527672	nonENG	2022.024657534247	2022.024657534247
99	1	2022.054794520548	2021.9719969421687	nonENG	2022.054794520548	2022.054794520548
100	1	2022.0383561643837	2021.9992594178943	nonENG	2022.0383561643837	2022.0383561643837
101	2	2022.0286622198903	2021.98636051534	nonENG	2022.0602739726028	2022.0794520547945
102	2975	2021.891507625756	2021.88960889312	nonENG	2021.92602739726	2022.0821917808216
