lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
0	1	2022.049315068493	2022.033271468716	nonENG	2022.049315068493	2022.049315068493
1	1	2022.06301369863	2022.018393152381	nonENG	2022.06301369863	2022.06301369863
2	1	2022.0767123287671	2022.0037991276083	nonENG	2022.0767123287671	2022.0767123287671
3	1	2022.035616438356	2022.0042912528595	nonENG	2022.035616438356	2022.035616438356
4	1	2022.024657534247	2021.950675352983	nonENG	2022.024657534247	2022.024657534247
5	3	2022.002590394355	2021.995790649153	nonENG	2022.035616438356	2022.06301369863
6	1	2022.0684931506848	2022.0201918853884	nonENG	2022.0684931506848	2022.0684931506848
7	1	2022.0575342465756	2021.981683355648	nonENG	2022.0575342465756	2022.0575342465756
8	1	2022.0164383561644	2021.99751977412	nonENG	2022.0164383561644	2022.0164383561644
9	2	2022.0277725298215	2022.0212714710017	nonENG	2022.0684931506848	2022.0794520547945
10	1	2022.0520547945205	2021.9833615541836	nonENG	2022.0520547945205	2022.0520547945205
11	1	2022.0794520547945	2022.011874286249	nonENG	2022.0794520547945	2022.0794520547945
12	1	2022.035616438356	2021.9925943178123	nonENG	2022.035616438356	2022.035616438356
13	1	2022.0301369863012	2022.0300185896392	nonENG	2022.0301369863012	2022.0301369863012
14	1	2022.0794520547945	2022.0104032548768	nonENG	2022.0794520547945	2022.0794520547945
15	1	2022.06301369863	2021.9811085160693	nonENG	2022.06301369863	2022.06301369863
16	1	2022.0684931506848	2022.035479604397	nonENG	2022.0684931506848	2022.0684931506848
17	1	2022.0438356164384	2021.9652133022284	nonENG	2022.0438356164384	2022.0438356164384
18	1	2022.06301369863	2021.984848696496	nonENG	2022.06301369863	2022.06301369863
19	1	2022.0465753424655	2022.041447304723	nonENG	2022.0465753424655	2022.0465753424655
20	1	2022.0465753424655	2021.954075332961	nonENG	2022.0465753424655	2022.0465753424655
21	1	2022.0684931506848	2022.0243984821448	nonENG	2022.0684931506848	2022.0684931506848
22	1	2022.06301369863	2022.002285708627	nonENG	2022.06301369863	2022.06301369863
23	1	2021.9890410958903	2021.977346083982	nonENG	2021.9890410958903	2021.9890410958903
24	1	2022.024657534247	2022.0044810591487	nonENG	2022.024657534247	2022.024657534247
25	1	2022.0438356164384	2021.9872353703795	nonENG	2022.0438356164384	2022.0438356164384
26	1	2022.013698630137	2022.002254281622	nonENG	2022.013698630137	2022.013698630137
27	1	2022.00245802578	2021.9966609114724	nonENG	2022.0027397260276	2022.0027397260276
28	1	2022.0465753424655	2022.0240764040047	nonENG	2022.0465753424655	2022.0465753424655
29	1	2021.9808219178085	2021.953071821466	nonENG	2021.9808219178085	2021.9808219178085
30	2	2022.0699252975087	2022.011380482578	nonENG	2022.0767123287671	2022.0794520547945
31	1	2022.0712328767124	2022.0264253515377	nonENG	2022.0712328767124	2022.0712328767124
32	1	2022.013698630137	2021.9763183546752	nonENG	2022.013698630137	2022.013698630137
33	1	2022.07397260274	2022.0356681902783	nonENG	2022.07397260274	2022.07397260274
34	1	2022.0767123287671	2022.056838565274	nonENG	2022.0767123287671	2022.0767123287671
35	1	2022.0575342465756	2022.031156211241	nonENG	2022.0575342465756	2022.0575342465756
36	1	2022.0794520547945	2022.0612797137856	nonENG	2022.0794520547945	2022.0794520547945
37	1	2022.0767123287671	2022.0409719164115	nonENG	2022.0767123287671	2022.0767123287671
38	1	2022.06301369863	2022.0225814280789	nonENG	2022.06301369863	2022.06301369863
39	1	2022.0794520547945	2022.015954884106	nonENG	2022.0794520547945	2022.0794520547945
40	1	2022.0164383561644	2021.9676103567847	nonENG	2022.0164383561644	2022.0164383561644
41	1	2022.019178082192	2021.9875651310088	nonENG	2022.019178082192	2022.019178082192
42	3	2022.0431443891607	2021.9846085534452	nonENG	2022.0465753424655	2022.0794520547945
43	1	2022.0712328767124	2022.0669227269373	nonENG	2022.0712328767124	2022.0712328767124
44	1	2022.0794520547945	2021.9996988946343	nonENG	2022.0794520547945	2022.0794520547945
45	1	2022.0657534246573	2022.0255416245448	nonENG	2022.0657534246573	2022.0657534246573
46	1	2022.07397260274	2022.061314317191	nonENG	2022.07397260274	2022.07397260274
47	1	2022.0383561643837	2021.9903779302963	nonENG	2022.0383561643837	2022.0383561643837
48	1	2022.0520547945205	2021.9982160730265	nonENG	2022.0520547945205	2022.0520547945205
49	1	2022.035616438356	2022.0303743126703	nonENG	2022.035616438356	2022.035616438356
50	1	2022.024657534247	2021.9679167150448	nonENG	2022.024657534247	2022.024657534247
51	1	2022.0438356164384	2022.021129362099	nonENG	2022.0438356164384	2022.0438356164384
52	1	2021.9945205479453	2021.989846394136	nonENG	2021.9945205479453	2021.9945205479453
53	2	2022.034404872018	2021.9665978380176	nonENG	2022.041095890411	2022.054794520548
54	1	2021.9890410958903	2021.9827504586904	nonENG	2021.9890410958903	2021.9890410958903
55	1	2022.013698630137	2022.000094105316	nonENG	2022.013698630137	2022.013698630137
56	1	2021.958904109589	2021.9466541532363	nonENG	2021.958904109589	2021.958904109589
57	1	2022.0575342465756	2022.04017997646	nonENG	2022.0575342465756	2022.0575342465756
58	1	2022.0438356164384	2022.005403113205	nonENG	2022.0438356164384	2022.0438356164384
59	1	2022.0657534246573	2022.029839029789	nonENG	2022.0657534246573	2022.0657534246573
60	1	2022.0465753424655	2021.997949864904	nonENG	2022.0465753424655	2022.0465753424655
61	1	2022.035616438356	2022.005518511997	nonENG	2022.035616438356	2022.035616438356
62	2	2022.018768406053	2021.9788975856077	nonENG	2022.0328767123287	2022.0328767123287
63	1	2022.0821917808216	2022.0805846211792	nonENG	2022.0821917808216	2022.0821917808216
64	1	2022.0657534246573	2022.0369015439949	nonENG	2022.0657534246573	2022.0657534246573
65	1	2022.0712328767124	2022.0319314906048	nonENG	2022.0712328767124	2022.0712328767124
66	1	2022.0575342465756	2022.0427799099716	nonENG	2022.0575342465756	2022.0575342465756
67	1	2022.0794520547945	2021.98294475214	nonENG	2022.0794520547945	2022.0794520547945
68	1	2022.0383561643837	2022.0179886091064	nonENG	2022.0383561643837	2022.0383561643837
69	1	2022.0821917808216	2022.0256671978807	nonENG	2022.0821917808216	2022.0821917808216
70	1	2022.035616438356	2022.0232146566807	nonENG	2022.035616438356	2022.035616438356
71	1	2022.06301369863	2021.9646757842809	nonENG	2022.06301369863	2022.06301369863
72	1	2021.9917808219177	2021.9910826733317	nonENG	2021.9917808219177	2021.9917808219177
73	1	2022.0794520547945	2022.014457884221	nonENG	2022.0794520547945	2022.0794520547945
74	1	2022.0328767123287	2021.9992591178093	nonENG	2022.0328767123287	2022.0328767123287
75	1	2022.0657534246573	2022.0343037202556	nonENG	2022.0657534246573	2022.0657534246573
76	1	2022.0328767123287	2022.0146924632668	nonENG	2022.0328767123287	2022.0328767123287
77	1	2022.035616438356	2021.9916041913364	nonENG	2022.035616438356	2022.035616438356
78	1	2022.0684931506848	2022.031926814267	nonENG	2022.0684931506848	2022.0684931506848
79	2	2022.0226710164768	2022.0105885311575	nonENG	2022.0767123287671	2022.0794520547945
80	1	2022.0438356164384	2022.0006590411624	nonENG	2022.0438356164384	2022.0438356164384
81	1	2022.0328767123287	2021.996545169092	nonENG	2022.0328767123287	2022.0328767123287
