code,0_4,5_11,12_15,16_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_999,total
E08000014,13789,22208,12252,5849,18372,15136,15847,15549,14284,16912,19391,21403,19444,16949,16649,12439,9701,6306,3419,275899
E08000013,9879,15007,8222,3785,12904,11723,12055,11280,10012,12003,12797,13011,11097,10022,10439,7403,5296,2881,1279,181095
E08000015,17149,27508,15486,7288,22226,18325,19279,18837,18305,20487,22933,24045,21179,19198,19074,13560,9875,6057,3525,324336
E06000011,15148,25824,15129,7277,20014,15751,16393,17457,18325,22697,26155,27490,24910,23523,25872,17292,12766,7414,3764,343201
E06000010,16575,23702,11957,5351,26387,21262,20807,17435,14408,15441,16049,16364,13951,11608,10934,6887,5405,3114,1489,259126
E06000012,8863,14261,7852,3484,10944,9638,10627,9414,8363,9960,11111,11548,10041,8853,8873,6219,4724,2972,1617,159364
E06000013,8785,14611,8472,3809,11239,9805,10617,10520,9542,10751,12771,13018,11514,10335,10224,7116,4963,2955,1701,172748
E06000014,9329,15002,8377,3894,31836,16528,14086,12486,11363,12211,12998,12985,11043,9763,10361,7349,5797,3473,2131,211012
E07000163,2424,4024,2452,1213,3273,2511,2674,2752,2864,3624,4526,4650,4433,4161,4198,3170,2124,1400,865,57338
E07000164,3924,6738,3918,1886,5227,4349,4693,4608,4604,5670,7168,7856,6703,6366,6691,4839,3562,2072,1058,91932
E07000165,7443,12999,8019,4689,8451,6941,8015,8942,9457,11227,12860,12951,11094,9601,10129,7354,5577,3494,2302,161545
E07000166,2486,4104,2114,1116,4026,3351,3928,3252,2760,3265,3864,4064,3712,3191,3246,2263,1599,920,471,53732
E07000167,2326,3937,2396,1151,3365,2608,2605,2732,2582,3557,4223,4681,4231,4013,4116,2992,2079,1329,706,55629
E07000168,4931,7896,4465,2168,6569,5523,5708,5197,5012,6394,7564,8728,8378,7914,8352,5906,4203,2459,1370,108737
E07000169,4953,7668,4213,2017,5472,5251,5785,5627,5389,6199,7104,7169,5984,5282,5375,3628,2412,1426,743,91697
E08000016,13926,20945,11463,5287,17385,16260,16253,15914,13621,16118,18538,17852,15849,13569,13327,9656,6358,3702,2048,248071
E08000017,17957,27521,15103,6781,21843,20370,21387,20582,17897,19729,21811,21906,19574,16895,16216,11474,8312,4883,2544,312785
E08000018,15195,23387,12852,6019,19152,16610,17056,16696,14586,17020,19109,18542,16372,14034,14121,10635,7375,4045,2178,264984
E08000019,31777,47693,26646,12282,79070,53047,42053,35135,32890,34020,37227,33881,28779,24500,24484,18633,13936,8510,4651,589214
