code,0_4,5_11,12_15,16_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_999,total
E09000015,17832,23612,12368,6159,17682,16814,18728,19059,17992,16400,15757,15386,13915,11505,10060,7214,5740,3791,2324,252338
E09000016,17167,23606,12435,5812,19339,17407,18900,18698,16677,15913,17227,16644,14308,11672,12035,8509,6833,4615,2854,260651
E09000017,21569,30605,15458,7013,26504,22063,23912,24244,23095,20152,19518,18147,14701,11495,10699,7613,6171,3884,2171,309014
E09000018,19526,27160,13179,5908,20298,19216,21984,23856,21621,19181,17294,15549,12876,10500,8850,6064,4575,2716,1414,271767
E09000021,10700,16838,8639,3869,15250,12692,13756,14691,13912,13343,11805,10176,8389,6922,6644,4496,3318,2124,1578,179142
E09000024,14413,19618,9540,4169,13488,14722,16891,19114,17591,14382,13930,12299,9662,7701,6796,4763,3749,2287,1338,206453
E09000026,22342,29912,16330,7863,24626,22320,23995,25074,23083,20621,18791,17061,14367,11659,9766,6867,5380,3373,2228,305658
E09000027,11800,19501,10045,4444,11442,9468,11709,15205,16962,17023,14799,13378,10383,8764,8700,5928,4157,2534,1899,198141
E09000029,13266,20628,10579,4877,12981,11498,13871,16840,17007,15655,14966,13212,10411,8510,8379,5843,4525,2934,1725,207707
E09000031,21329,26701,13007,6101,19994,20850,26947,27024,21421,18630,17786,14810,11833,9182,7650,5221,4136,2559,1759,276940
E06000036,7291,11622,6753,3168,8799,7255,8700,9280,9133,9099,9083,8509,6857,5459,4970,3339,2487,1468,893,124165
E06000043,12987,20232,11531,5582,43776,28170,22558,19564,18425,19317,19903,17745,12931,10493,10252,7090,5281,3507,2394,291738
E06000060,31715,52548,29119,13422,35016,28346,31093,35165,37188,38913,40356,38342,31723,26525,26920,20175,15179,9494,5821,547060
E06000046,5891,10088,5892,2802,8965,6876,6648,6797,6811,8491,10513,11002,10662,10446,11426,8244,5364,3329,2049,142296
E06000035,18085,26646,14046,6664,21970,19267,20255,18690,17600,17974,19202,18228,15242,12605,12802,8707,6007,3363,1789,279142
E06000042,18180,29349,15230,6549,17225,15725,18448,21969,21172,19226,17989,16150,13974,12073,10786,6954,4811,2691,1702,270203
E06000044,11839,18020,9497,4400,31770,18609,15657,14149,11936,12317,12972,12624,10334,7953,8374,5738,4244,2667,1592,214692
E06000038,11096,15203,7655,3300,17314,13188,12121,12367,11295,10355,10022,8966,7120,5560,5185,3838,2877,1786,1089,160337
E06000039,12415,18122,9291,3825,10666,8674,10950,13715,12919,10383,9098,7704,6258,5105,3825,2610,2009,1287,721,149577
E06000045,14941,21592,10505,4768,39804,25572,18840,16780,14339,13462,13348,13621,11322,9364,8921,6437,4538,2916,1802,252872
E06000037,8559,14267,8516,4206,10246,7833,8427,9454,10250,11641,12357,11732,9871,8467,8578,6142,4075,2405,1439,158465
E06000040,8383,13675,8457,4162,9486,7145,8626,10147,10750,11393,11457,10781,8297,7003,7301,5557,4165,2670,1818,151273
E06000041,9912,17615,9448,4298,11342,8365,9960,11650,13293,13198,12644,11964,9685,7820,8074,5988,4296,2730,1663,173945
E07000061,5017,8340,4409,2159,7631,5272,5295,6065,5960,6333,7044,7195,6442,5942,6947,4878,3809,2621,1965,103324
E07000062,5171,7820,4193,1971,6503,5322,5785,5645,5214,6036,6993,6890,5892,5250,5379,3455,2342,1456,1237,92554
E07000063,4602,8184,4791,2358,6560,4774,5048,5655,5697,6778,7681,7753,6763,6577,7174,5118,3796,2464,1752,103525
E07000064,3776,6706,4016,1783,5487,4256,4061,4116,4263,5414,6849,7545,7198,7289,8675,6215,4377,2752,1938,96716
E07000065,7368,12671,7599,3641,9666,7403,7513,8291,8493,10636,12409,12833,11530,10498,11745,8522,5856,3735,2324,162733
E07000084,10583,16514,8508,3822,11985,9765,11806,12450,12003,12804,13331,12664,10205,8392,8787,6122,4236,2442,1341,177760
E07000085,5982,10195,6103,2923,7867,5730,5927,6223,7146,8696,9572,9732,8442,7118,7990,5728,4154,2643,1667,123838
E07000086,7488,12014,6590,3048,8828,7940,9116,8966,8804,9119,9455,9327,8061,6987,7141,5064,3808,2280,1484,135520
E07000087,5257,8978,5131,2522,7648,5978,6659,6572,6587,7895,8683,8869,7732,6585,7454,5562,4051,2653,1522,116338
E07000088,4448,7008,4066,1915,6537,5060,5335,5250,4770,5429,5878,6126,5402,4530,4897,3261,2357,1573,837,84679
E07000089,5239,8994,5147,2322,5773,4498,5572,6010,6824,7736,7324,7148,5477,4665,5316,3996,2908,1600,1059,97608
E07000090,6400,10132,5790,2711,9153,7238,7254,6906,6299,7552,8995,9395,8535,7389,7966,5801,4368,2806,1649,126339
E07000091,7471,13099,7598,3546,10663,8018,8250,8343,9002,11001,12681,14029,12778,12475,13956,10433,7654,5145,3507,179649
E07000092,6237,8446,4374,1974,6619,6270,7413,7115,6636,6854,6893,6469,4863,3895,3826,2762,1944,1080,717,94387
E07000093,7047,11078,5810,2701,7556,6499,7423,7553,7726,8961,9577,9454,7900,6956,7651,5578,3852,2442,1399,127163
E07000094,6041,10745,6469,3146,12201,5913,6117,6670,7542,8702,8830,8939,7511,6621,7144,5238,3871,2541,1684,125925
E07000105,7790,12370,6771,3194,8735,7397,7759,7866,7970,8802,9972,9243,7376,6613,7307,5182,3428,2072,1171,131018
E07000106,7155,12135,7173,3498,25687,13460,9103,8240,7714,8632,10058,10107,9175,8636,9543,6652,4786,2939,2069,166762
E07000107,8432,11662,5968,2542,7519,6965,9504,9540,8368,7713,7761,6763,5449,4204,4200,2956,2218,1469,818,114051
E07000108,5834,9385,5581,2470,7740,6602,6560,6572,6282,7322,8609,9050,8306,7547,8006,5430,3671,2169,1378,118514
E07000112,5306,8880,4851,2223,7299,5861,6357,6275,6134,7200,8498,8525,7613,7151,8159,5388,3748,2245,1607,113320
E07000109,6926,10373,5700,2552,7523,6298,7132,7165,6707,7236,7673,7136,5866,4906,4854,3556,2716,1711,860,106890
E07000110,10473,15808,8409,3962,11668,10224,11150,11500,10627,11611,12672,11870,9763,8442,9320,6403,4733,2931,1566,173132
E07000111,6811,11435,6369,2773,7191,5765,6374,7134,7977,8508,8976,8583,7215,6570,7115,5053,3688,2409,1441,121387
E07000113,9162,14076,7670,3424,11264,8945,9319,9427,8849,9375,10731,10677,8986,7774,8423,5802,3844,2108,1159,151015
E07000114,7648,12183,6860,3102,9636,7605,7649,7955,7581,8585,9623,9931,9068,8960,9527,6669,4538,2742,1596,141458
E07000115,7735,12218,7134,3421,8810,6989,7569,8149,8660,9703,9957,9421,7618,6307,6879,5080,3623,2130,1168,132571
E07000116,6265,10882,6770,3210,6872,5455,6536,7779,8055,9129,9327,8413,6836,5689,6186,4513,3192,2209,1621,118939
E07000177,9570,13598,7531,3403,9581,8101,9816,11116,10062,10398,11162,10627,8823,7373,7480,5422,3954,2418,1411,151846
E07000178,7956,12250,6787,3198,32966,16464,7764,8891,7717,7145,7718,7403,6173,5106,4859,3576,2680,1742,1189,151584
E07000179,7974,12624,7104,3203,8746,7170,8201,8893,9100,10249,11060,10418,8579,7474,7990,6217,4507,2729,1544,143782
E07000180,7960,11965,6636,3256,8883,7676,8824,9072,9013,9457,9718,9569,7970,7026,7420,5512,3977,2440,1536,137910
E07000181,5756,9670,5168,2488,6780,5930,6814,6990,6605,7681,8118,8239,6912,6172,6507,4902,3415,2262,1349,111758
E07000207,8698,14435,7504,3335,7571,5153,6068,8523,10852,11116,10737,10103,7535,6390,6516,4715,3649,2499,1816,137215
E07000208,4947,7843,4307,1963,5737,3944,4321,5381,5978,6081,5830,5573,4255,3748,3987,2880,2104,1356,768,81003
E07000209,7183,12100,6884,3201,20699,12435,9187,8461,8771,9698,9495,9513,7556,6403,6721,4705,3587,2331,1422,150352
E07000210,4047,7097,4238,2106,5427,3949,3889,4415,5542,6224,6931,6896,5904,5028,5364,4059,3066,2098,1267,87547
E07000211,9161,14263,7485,3476,9015,7645,9085,10491,11033,10868,10865,10384,8176,6882,7191,5062,3749,2614,1798,149243
E07000212,4903,7085,3831,1685,11439,7498,6213,5301,5380,5671,5755,5704,4588,3745,3932,2891,2198,1574,934,90327
E07000213,6192,8922,4723,2222,6426,5176,6212,7010,7246,6988,7243,7105,5706,4663,4759,3647,2932,1731,970,99873
E07000214,4664,7889,4531,2200,5779,4547,4676,5455,5992,6747,6984,6638,5316,4310,4572,3542,2651,1770,941,89204
E07000215,5054,7672,4430,2075,5542,4161,4939,5390,5850,6161,6859,6599,5303,4570,4936,3548,2584,1646,1223,88542
E07000216,6739,11486,6977,3559,8221,5009,5369,7079,8328,9660,9489,8802,7543,6482,7136,5693,4171,2883,1930,126556
E07000217,6407,9890,5339,2285,5866,4986,5730,7115,7957,7623,7233,6536,5480,4621,4475,3234,2479,1657,1095,100008
E07000223,3356,5635,2895,1305,3770,3029,3423,3861,4083,4603,4687,4506,3848,3681,4059,3006,2305,1373,762,64187
E07000224,7533,12100,6434,3008,9476,7698,8277,8214,8342,9540,11166,11607,10830,10807,12792,9380,6958,4266,2695,161123
E07000225,5496,9454,5167,2369,8614,5491,5333,5893,6116,7397,8626,9225,8693,8062,8802,6751,4832,3203,1984,121508
E07000226,7764,11457,5754,2586,7707,7225,8601,9382,8498,7727,7442,6930,5902,4527,4067,2600,1953,1450,902,112474
E07000227,7333,11896,7128,3375,8476,7074,7803,8152,8913,10044,11225,11295,9433,8482,8875,6532,4691,2946,1801,145474
E07000228,8382,13834,7685,3573,8718,7139,8594,10000,10529,11311,11467,10704,8927,7935,8322,6121,4235,2935,1731,152142
E07000229,5556,9061,4962,2265,6947,5447,6279,7052,7219,7840,8266,8070,6618,5899,6743,4777,3667,2422,1637,110727
E06000022,9333,14876,8536,3930,28598,15645,11728,10196,10073,11507,12291,12289,10364,9253,9725,7234,5336,3354,2089,196357
E06000058,19750,31619,17042,7941,36573,22308,23201,25977,24447,25275,26907,26535,22571,20888,22888,16520,12473,8597,5477,396989
E06000023,27646,38509,19559,8693,64967,50930,43695,33537,27227,24609,24272,22954,18994,16344,15564,10987,8354,5524,3501,465866
E06000052,26912,45147,25104,11791,41628,27701,28117,30072,30438,36092,41594,43177,40686,37951,41174,28653,18821,11523,6718,573299
E06000059,15482,27246,16833,8137,21244,16529,18023,17491,18787,22810,27207,29894,28343,27415,30725,22252,15464,9823,6086,379791
E06000053,71,173,73,22,167,122,133,106,143,136,159,163,141,154,159,122,94,48,40,2226
E06000024,11087,18139,9904,4690,13330,10322,11451,12776,13048,14466,15716,15332,13310,12594,14136,10580,7260,4671,2762,215574
E06000026,14232,22212,11581,5266,29502,17885,17251,17230,14203,15429,17143,16830,15115,12609,13312,9496,6899,4212,2432,262839
E06000025,16253,24488,13220,5966,23894,18806,19320,19422,17732,18563,20617,19516,15610,13567,14011,11285,7929,4902,2715,287816
E06000030,13815,21124,10884,4929,15379,12785,14892,16105,15087,16335,16411,15525,12737,10571,9765,6841,4933,3059,1704,222881
E06000027,6414,10567,5767,2736,8165,6694,6997,6901,6570,8147,9840,10552,9725,9208,10065,7477,5119,3279,1995,136218
E06000054,26196,43739,24653,11686,31700,25752,28988,29772,29270,34480,38193,37345,31938,28676,29691,21761,15055,9550,5625,504070
E07000040,6418,10931,6258,2892,8063,6461,7151,7096,7416,8756,10328,10694,10512,10631,12003,9061,6472,4233,2704,148080
E07000041,6186,9377,4946,2254,24072,12619,10110,7978,7007,7044,7469,7028,5940,5356,5511,4071,3006,1908,1451,133333
E07000042,4090,6984,4229,1909,5319,3914,4319,4638,4462,5440,6234,6392,5600,5296,5452,3842,2577,1583,1010,83290
E07000043,4664,7828,4437,2023,5904,4926,5188,5020,5191,6107,7195,7646,6920,6291,6847,5115,3415,2086,1367,98170
E07000044,3546,6496,3832,1805,4834,3584,3875,4264,4524,5158,6611,7300,6997,6671,7105,4924,3271,2013,1136,87946
E07000045,6131,10152,5698,2650,7702,6366,7138,7054,7166,8180,9962,10835,9742,9486,10019,7035,4706,3002,2015,135039
E07000046,2923,5210,2842,1364,3819,3044,3405,3193,3423,4048,5031,5546,5621,5278,5416,3766,2389,1527,874,68719
E07000047,2194,4049,2559,1199,2952,2249,2570,2697,2814,3371,4260,4861,4449,4111,4475,3170,2057,1308,794,56139
E07000078,6037,9307,5328,2748,10248,7233,7615,7917,7248,7190,7771,7816,6467,5798,5969,4436,3328,2202,1385,116043
E07000079,4163,6724,3928,1907,5576,3794,3989,4666,4985,6189,7076,7220,6389,6135,6329,4656,3293,2051,1194,90264
E07000080,4128,6464,3639,2096,6368,4319,4350,4315,4267,5516,6831,6963,6156,5944,6011,4329,2850,1644,917,87107
E07000081,7840,11875,6246,2827,11178,7917,9172,8950,7980,8381,9220,8747,7250,5967,5847,4388,3002,1842,1080,129709
E07000082,5742,9936,5745,2772,7481,5900,6225,6621,7100,8866,9417,9347,8264,7402,7611,5363,3719,2350,1042,120903
E07000083,5495,8314,4276,2025,5712,5260,6056,6045,5774,6338,7037,6926,6030,5592,5718,4232,3028,1726,1040,96624
E07000187,5764,9404,5699,2924,7085,5494,6081,6274,6256,7635,9069,9085,7753,7424,7606,5317,3687,2273,1458,116288
E07000188,6168,10253,5585,2720,8048,6325,6803,6674,6338,7708,9265,9495,8326,7862,8094,5825,3992,2380,1585,123446
E07000246,7496,12136,6883,3264,9503,7926,8555,8408,7978,9322,10958,11609,10703,10470,10683,7906,5482,3598,2541,155421
E07000189,8356,13447,7690,3504,10259,8305,9405,8794,8618,10354,12062,12616,11500,11347,11982,8677,5933,3541,2306,168696
