lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
28	1	2021.964383561644	2021.9608949657	nonENG	2021.964383561644	2021.964383561644
29	1	2022.0821917808216	2022.0141803069787	nonENG	2022.0821917808216	2022.0821917808216
30	1	2022.0109589041097	2022.006617382037	nonENG	2022.0109589041097	2022.0109589041097
31	1	2022.0109589041097	2021.9777618341816	nonENG	2022.0109589041097	2022.0109589041097
32	1	2022.021917808219	2021.9994635584533	nonENG	2022.021917808219	2022.021917808219
33	1	2021.958904109589	2021.94753644473	nonENG	2021.958904109589	2021.958904109589
34	1	2021.9466263922172	2021.946529566116	nonENG	2021.9671232876717	2021.9671232876717
35	1	2021.964383561644	2021.9604700957875	nonENG	2021.964383561644	2021.964383561644
36	1	2021.9616438356163	2021.9463198751985	nonENG	2021.9616438356163	2021.9616438356163
37	1	2022.0301369863012	2021.998239281356	nonENG	2022.0301369863012	2022.0301369863012
38	1	2021.9917808219177	2021.9837166683476	nonENG	2021.9917808219177	2021.9917808219177
39	1	2021.9698630136984	2021.9649004740877	nonENG	2021.9698630136984	2021.9698630136984
40	1	2022.027397260274	2021.993510945314	nonENG	2022.027397260274	2022.027397260274
41	1	2022.0712328767124	2022.0341065769965	nonENG	2022.0712328767124	2022.0712328767124
42	4	2022.0239887222083	2021.9955498202748	nonENG	2022.06301369863	2022.0767123287671
43	2	2022.000053127556	2021.9939607113693	nonENG	2022.0328767123287	2022.0520547945205
44	2	2021.9941486015225	2021.969212923339	nonENG	2022.0301369863012	2022.0657534246573
45	1	2021.964383561644	2021.95597246916	nonENG	2021.964383561644	2021.964383561644
46	1	2022.024657534247	2021.991329491972	nonENG	2022.024657534247	2022.024657534247
47	2	2022.0080762181212	2021.978033210596	nonENG	2022.0109589041097	2022.035616438356
48	1	2022.027397260274	2022.0004399967231	nonENG	2022.027397260274	2022.027397260274
49	1	2022.041095890411	2022.039783665464	nonENG+ENG	2022.041095890411	2022.041095890411
50	1	2021.9534246575345	2021.9455263483023	nonENG	2021.9534246575345	2021.9534246575345
51	1	2021.9616438356163	2021.9611469174563	nonENG	2021.9616438356163	2021.9616438356163
52	1	2021.9561643835616	2021.9339441004304	nonENG	2021.9561643835616	2021.9561643835616
53	1	2022.0465753424655	2021.9153966601496	nonENG	2022.0465753424655	2022.0465753424655
54	1	2022.06301369863	2022.0232735891605	nonENG	2022.06301369863	2022.06301369863
55	1	2022.0	2021.9979520158463	nonENG	2022.0	2022.0
56	1	2022.0767123287671	2021.965329428684	nonENG	2022.0767123287671	2022.0767123287671
57	1	2021.9534246575345	2021.9477745499173	nonENG	2021.9534246575345	2021.9534246575345
