airport,state
Glacier Park International Airport,Montana
Manhattan Regional Airport,Kansas
South Bend International Airport,Indiana
Lubbock Preston Smith International Airport,Texas
Brownsville-South Padre Island International Airport,Texas
Kalamazoo-Battle Creek International Airport,Michigan
Yeager Airport,West Virginia
Rapid City Regional Airport,South Dakota
Mathis Field,Texas
MBS International Airport,Michigan
Pocatello Regional Airport,Idaho
Lehigh Valley International Airport,Pennsylvania
Worcester Regional Airport,Massachusetts
Killeen-Fort Hood Regional Airport,Texas
Lincoln Municipal Airport,Nebraska
Gunnison County Airport,Colorado
Central Illinois Regional Airport at Bloomington-Normal,Illinois
Theodore Francis Green State Airport,Rhode Island
Ithaca Tompkins Regional Airport,New York
Lihue Airport,Hawaii
Waco Regional Airport,Texas
Brunswick Golden Isles Airport,Georgia
Erie International Airport,Pennsylvania
Laredo International Airport,Texas
Columbia Regional Airport,Missouri
Monroe Regional Airport,Louisiana
Hilton Head Airport,South Carolina
Central Wisconsin Airport,Wisconsin
Gregg County Airport,Texas
Bishop International Airport,Michigan
Austin Straubel International Airport,Wisconsin
Friedman Memorial Airport,Idaho
Easterwood Field,Texas
Mason City Municipal Airport,Iowa
Cherry Capital Airport,Michigan
Melbourne International Airport,Florida
Quad City International Airport,Illinois
Lansing Capital City Airport,Michigan
Rochester International Airport,New York
Dothan Regional Airport,Alabama
Meadows Field Airport,California
Fort Smith Municipal Airport,Arkansas
Hobbs Airport,New Mexico
Durango-La Plata County Airport,Colorado
Victoria Regional Airport,Texas
Columbus Airport,Georgia
Manchester Airport,New Hampshire
Minot International Airport,North Dakota
Toledo Express Airport,Ohio
Sawyer International Airport,Michigan
Tri-Cities Airport,Tennessee
Valdosta Regional Airport,Georgia
Sonoma County Airport,California
Rio Grande Valley International Airport,Texas
Newport News-Williamsburg International Airport,Virginia
Bangor International Airport,Maine
Tyler Pounds Field,Texas
Alpena County Regional Airport,Michigan
Wilkes-Barre/Scranton International Airport,Pennsylvania
Great Falls International Airport,Montana
Lewiston-Nez Perce County Airport,Idaho
Lake Charles Regional Airport,Louisiana
Juneau International Airport,Alaska
Ernest A. Love Field,Arizona
Fairbanks International Airport,Alaska
Duluth International Airport,Minnesota
Nantucket Memorial Airport,Massachusetts
Lawton-Fort Sill Regional Airport,Oklahoma
Hattiesburg-Laurel Regional Airport,Mississippi
Redding Municipal Airport,California
Golden Triangle Regional Airport,Mississippi
La Crosse Municipal Airport,Wisconsin
Shenandoah Valley Regional Airport,Virginia
Elmira/Corning Regional Airport,New York
Helena Regional Airport,Montana
Roswell Industrial Air Center Airport,New Mexico
Coastal Carolina Regional Airport,North Carolina
Aberdeen Regional Airport,South Dakota
Waterloo Municipal Airport,Iowa
Quincy Regional Airport,Illinois
Elko Regional Airport,Nevada
Abraham Lincoln Capital Airport,Illinois
Southwest Georgia Regional Airport,Georgia
Pellston Regional Airport of Emmet County,Michigan
Chicago Midway International Airport,Illinois
Del Rio International Airport,Texas
Westchester County Airport,New York
Saint George Municipal Airport,Utah
Jack Brooks Regional Airport,Texas
Hilo International Airport,Hawaii
Chippewa Valley Regional Airport,Wisconsin
Pullman-Moscow Regional Airport,Washington
Ogdensburg International Airport,New York
Long Beach Airport,California
Flagstaff Pulliam Airport,Arizona
Yellowstone Regional Airport,Wyoming
Cape Girardeau Municipal Airport,Missouri
Bellingham International Airport,Washington
