origin,peak_LL.date,peak_UL.date,peak_mid.date,relative_to_dec,relative_to_christmas
E07000108,2021-12-28,2022-01-03,2021-12-31,30,after
E07000133,2021-12-29,2022-01-02,2021-12-31,30,after
E07000139,2021-12-28,2022-01-03,2021-12-31,30,after
E07000146,2021-12-28,2022-01-03,2021-12-31,30,after
E07000172,2021-12-28,2022-01-03,2021-12-31,30,after
E07000173,2021-12-28,2022-01-03,2021-12-31,30,after
E07000175,2021-12-28,2022-01-03,2021-12-31,30,after
E07000179,2021-12-26,2022-01-05,2021-12-31,30,after
E07000203,2021-12-28,2022-01-03,2021-12-31,30,after
E07000217,2021-12-26,2022-01-05,2021-12-31,30,after
E08000003,2021-12-26,2022-01-05,2021-12-31,30,after
E08000013,2021-12-28,2022-01-03,2021-12-31,30,after
E08000014,2021-12-28,2022-01-03,2021-12-31,30,after
E09000015,2021-12-25,2022-01-06,2021-12-31,30,during
E09000017,2021-12-26,2022-01-05,2021-12-31,30,after
E06000006,2021-12-29,2022-01-03,2021-12-31,30.5,after
E06000014,2021-12-27,2022-01-05,2021-12-31,30.5,after
E06000041,2021-12-26,2022-01-06,2021-12-31,30.5,after
E06000049,2021-12-28,2022-01-04,2021-12-31,30.5,after
E06000050,2021-12-29,2022-01-03,2021-12-31,30.5,after
E06000052,2021-12-29,2022-01-03,2021-12-31,30.5,after
E06000060,2021-12-27,2022-01-05,2021-12-31,30.5,after
E07000029,2021-12-30,2022-01-02,2021-12-31,30.5,after
E07000064,2021-12-29,2022-01-03,2021-12-31,30.5,after
E07000112,2021-12-29,2022-01-03,2021-12-31,30.5,after
E07000114,2021-12-28,2022-01-04,2021-12-31,30.5,after
E07000121,2021-12-29,2022-01-03,2021-12-31,30.5,after
E07000127,2021-12-28,2022-01-04,2021-12-31,30.5,after
E07000130,2021-12-28,2022-01-04,2021-12-31,30.5,after
E07000137,2021-12-29,2022-01-03,2021-12-31,30.5,after
E07000141,2021-12-29,2022-01-03,2021-12-31,30.5,after
E07000152,2021-12-29,2022-01-03,2021-12-31,30.5,after
E07000221,2021-12-28,2022-01-04,2021-12-31,30.5,after
E07000234,2021-12-27,2022-01-05,2021-12-31,30.5,after
E07000244,2021-12-29,2022-01-03,2021-12-31,30.5,after
E08000006,2021-12-28,2022-01-04,2021-12-31,30.5,after
E08000008,2021-12-28,2022-01-04,2021-12-31,30.5,after
E08000010,2021-12-28,2022-01-04,2021-12-31,30.5,after
E08000011,2021-12-29,2022-01-03,2021-12-31,30.5,after
E08000012,2021-12-28,2022-01-04,2021-12-31,30.5,after
E08000015,2021-12-29,2022-01-03,2021-12-31,30.5,after
E09000018,2021-12-26,2022-01-06,2021-12-31,30.5,after
E06000007,2021-12-28,2022-01-05,2022-01-01,31,after
E06000023,2021-12-27,2022-01-06,2022-01-01,31,after
E06000025,2021-12-28,2022-01-05,2022-01-01,31,after
E06000030,2021-12-29,2022-01-04,2022-01-01,31,after
E06000037,2021-12-29,2022-01-04,2022-01-01,31,after
E06000038,2021-12-30,2022-01-03,2022-01-01,31,after
E06000042,2021-12-27,2022-01-06,2022-01-01,31,after
E06000055,2021-12-27,2022-01-06,2022-01-01,31,after
E06000059,2021-12-30,2022-01-03,2022-01-01,31,after
E07000027,2021-12-30,2022-01-03,2022-01-01,31,after
E07000040,2021-12-28,2022-01-05,2022-01-01,31,after
E07000046,2021-12-30,2022-01-03,2022-01-01,31,after
E07000083,2021-12-28,2022-01-05,2022-01-01,31,after
E07000092,2021-12-29,2022-01-04,2022-01-01,31,after
E07000113,2021-12-30,2022-01-03,2022-01-01,31,after
E07000118,2021-12-29,2022-01-04,2022-01-01,31,after
E07000124,2021-12-30,2022-01-03,2022-01-01,31,after
E07000126,2021-12-30,2022-01-03,2022-01-01,31,after
E07000129,2021-12-30,2022-01-03,2022-01-01,31,after
E07000131,2021-12-29,2022-01-04,2022-01-01,31,after
E07000153,2021-12-28,2022-01-05,2022-01-01,31,after
E07000155,2021-12-27,2022-01-06,2022-01-01,31,after
E07000178,2021-12-27,2022-01-06,2022-01-01,31,after
E07000194,2021-12-28,2022-01-05,2022-01-01,31,after
E07000236,2021-12-28,2022-01-05,2022-01-01,31,after
E07000237,2021-12-26,2022-01-07,2022-01-01,31,after
E08000004,2021-12-30,2022-01-03,2022-01-01,31,after
E08000029,2021-12-28,2022-01-05,2022-01-01,31,after
E06000015,2021-12-29,2022-01-05,2022-01-01,31.5,after
E06000017,2021-12-30,2022-01-04,2022-01-01,31.5,after
E06000019,2021-12-29,2022-01-05,2022-01-01,31.5,after
E06000022,2021-12-29,2022-01-05,2022-01-01,31.5,after
E06000044,2021-12-30,2022-01-04,2022-01-01,31.5,after
E06000051,2021-12-30,2022-01-04,2022-01-01,31.5,after
E06000054,2021-12-29,2022-01-05,2022-01-01,31.5,after
E06000058,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000032,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000039,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000045,2021-12-31,2022-01-03,2022-01-01,31.5,after
E07000132,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000134,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000135,2021-12-30,2022-01-04,2022-01-01,31.5,after
E07000138,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000142,2021-12-30,2022-01-04,2022-01-01,31.5,after
E07000151,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000156,2021-12-28,2022-01-06,2022-01-01,31.5,after
E07000169,2021-12-30,2022-01-04,2022-01-01,31.5,after
E07000170,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000196,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000197,2021-12-29,2022-01-05,2022-01-01,31.5,after
E07000199,2021-12-28,2022-01-06,2022-01-01,31.5,after
E08000002,2021-12-29,2022-01-05,2022-01-01,31.5,after
E08000005,2021-12-29,2022-01-05,2022-01-01,31.5,after
E06000012,2021-12-30,2022-01-05,2022-01-02,32,after
E06000024,2021-12-29,2022-01-06,2022-01-02,32,after
E06000026,2021-12-30,2022-01-05,2022-01-02,32,after
E06000045,2021-12-29,2022-01-06,2022-01-02,32,after
E07000026,2021-12-31,2022-01-04,2022-01-02,32,after
E07000031,2021-12-30,2022-01-05,2022-01-02,32,after
E07000033,2021-12-30,2022-01-05,2022-01-02,32,after
E07000043,2022-01-01,2022-01-03,2022-01-02,32,after
E07000078,2021-12-29,2022-01-06,2022-01-02,32,after
E07000086,2021-12-30,2022-01-05,2022-01-02,32,after
E07000093,2021-12-30,2022-01-05,2022-01-02,32,after
E07000119,2021-12-30,2022-01-05,2022-01-02,32,after
E07000125,2021-12-30,2022-01-05,2022-01-02,32,after
E07000128,2021-12-30,2022-01-05,2022-01-02,32,after
E07000136,2022-01-01,2022-01-03,2022-01-02,32,after
E07000163,2021-12-31,2022-01-04,2022-01-02,32,after
E07000171,2021-12-30,2022-01-05,2022-01-02,32,after
E07000174,2021-12-29,2022-01-06,2022-01-02,32,after
E07000180,2021-12-29,2022-01-06,2022-01-02,32,after
E07000192,2021-12-30,2022-01-05,2022-01-02,32,after
E07000198,2021-12-30,2022-01-05,2022-01-02,32,after
E07000219,2021-12-30,2022-01-05,2022-01-02,32,after
E07000220,2021-12-29,2022-01-06,2022-01-02,32,after
E07000223,2021-12-30,2022-01-05,2022-01-02,32,after
E07000224,2021-12-31,2022-01-04,2022-01-02,32,after
E07000238,2021-12-29,2022-01-06,2022-01-02,32,after
E08000001,2021-12-30,2022-01-05,2022-01-02,32,after
E08000018,2021-12-30,2022-01-05,2022-01-02,32,after
E08000019,2021-12-29,2022-01-06,2022-01-02,32,after
E08000027,2021-12-30,2022-01-05,2022-01-02,32,after
E06000009,2021-12-30,2022-01-06,2022-01-02,32.5,after
E06000011,2021-12-31,2022-01-05,2022-01-02,32.5,after
E06000013,2021-12-31,2022-01-05,2022-01-02,32.5,after
E06000016,2021-12-30,2022-01-06,2022-01-02,32.5,after
E06000032,2021-12-29,2022-01-07,2022-01-02,32.5,after
E07000028,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000030,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000042,2021-12-30,2022-01-06,2022-01-02,32.5,after
E07000044,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000047,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000062,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000080,2021-12-30,2022-01-06,2022-01-02,32.5,after
E07000087,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000088,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000090,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000117,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000120,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000187,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000189,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000202,2021-12-31,2022-01-05,2022-01-02,32.5,after
E07000218,2021-12-31,2022-01-05,2022-01-02,32.5,after
E08000016,2021-12-31,2022-01-05,2022-01-02,32.5,after
E08000031,2021-12-30,2022-01-06,2022-01-02,32.5,after
E08000033,2021-12-30,2022-01-06,2022-01-02,32.5,after
E08000035,2021-12-30,2022-01-06,2022-01-02,32.5,after
E06000004,2022-01-01,2022-01-05,2022-01-03,33,after
E06000008,2021-12-31,2022-01-06,2022-01-03,33,after
E06000010,2021-12-31,2022-01-06,2022-01-03,33,after
E06000020,2021-12-31,2022-01-06,2022-01-03,33,after
