tl	ntaxa	import_est	import_est_date
BA115_136	1	2022.04515364552	2022-01-17
BA115_137	3	2021.95242466026	2021-12-14
BA115_138	5	2021.97551815858	2021-12-23
BA115_139	2	2022.00987152763	2022-01-04
BA115_140	1	2022.01458923867	2022-01-06
BA115_142	2	2021.99354050986	2021-12-29
BA115_143	1	2022.04852761107	2022-01-18
BA115_144	1	2021.96389189727	2021-12-18
BA115_145	1	2022.009668478	2022-01-04
BA115_146	1	2021.99336273984	2021-12-29
BA115_147	1	2022.06698790932	2022-01-25
BA115_148	2	2021.95988346052	2021-12-17
BA115_149	1	2022.01624074156	2022-01-06
BA115_150	1	2022.02181782279	2022-01-08
BA115_151	1	2022.06725616535	2022-01-25
BA115_152	1	2022.01600578809	2022-01-06
BA115_153	1	2021.98438393932	2021-12-26
BA115_154	2	2022.02135721265	2022-01-08
BA115_155	2	2022.00250889835	2022-01-01
BA115_156	1	2022.03087881092	2022-01-12
BA115_157	2	2021.99479922242	2021-12-30
BA115_158	1	2021.9752028255	2021-12-22
BA115_159	1	2021.96731704979	2021-12-20
BA115_160	1	2021.99307629523	2021-12-29
BA115_161	1	2022.02689476388	2022-01-10
BA115_162	1	2021.9809291047	2021-12-25
BA115_163	3	2021.96923287037	2021-12-20
BA115_164	1	2022.02176345721	2022-01-08
BA115_165	1	2022.01711685975	2022-01-07
BA115_166	1	2022.01959918828	2022-01-08
BA115_167	1	2022.02130926447	2022-01-08
BA115_168	1	2022.0317240718	2022-01-12
BA115_169	1	2022.0295390025	2022-01-11
BA115_170	1	2022.03804255181	2022-01-14
BA115_171	16	2021.94235033615	2021-12-10
BA115_172	1	2022.03102664796	2022-01-12
BA115_173	1	2021.98757878488	2021-12-27
BA115_174	1	2022.00126742733	2022-01-01
BA115_175	2	2022.00732692003	2022-01-03
BA115_177	1	2022.01613043641	2022-01-06
BA115_178	1	2022.0598588174	2022-01-22
BA115_179	1	2022.01003054571	2022-01-04
BA115_180	3	2022.01202995333	2022-01-05
BA115_181	1	2021.98785332619	2021-12-27
BA115_182	1	2022.01772923114	2022-01-07
BA115_183	1	2022.02235154863	2022-01-09
BA115_184	1	2022.00088972838	2022-01-01
BA115_185	2	2021.94492459991	2021-12-11
BA115_186	3	2021.94743934459	2021-12-12
BA115_187	3	2021.98102839318	2021-12-25
BA115_188	2	2021.9766043914	2021-12-23
BA115_189	1	2021.97937502489	2021-12-24
BA115_190	1	2021.96849929053	2021-12-20
BA115_191	2	2021.99659639963	2021-12-30
BA115_192	1	2021.99602019353	2021-12-30
BA115_193	1	2021.98941369732	2021-12-28
BA115_194	1	2021.9863125679	2021-12-27
BA115_195	1	2022.01261829362	2022-01-05
BA115_196	1	2022.00759302433	2022-01-03
BA115_197	1	2022.04802591261	2022-01-18
BA115_198	1	2022.0013329438	2022-01-01
BA115_199	1	2022.0263088743	2022-01-10
BA115_200	3	2022.00159406662	2022-01-01
BA115_201	1	2022.0196488472	2022-01-08
BA115_202	4	2021.98808030628	2021-12-27
BA115_203	1	2022.07143221125	2022-01-27
BA115_204	3	2021.9971962199	2021-12-30
BA115_205	1	2021.98861545371	2021-12-27
BA115_206	1	2021.9991706964	2021-12-31
BA115_207	2	2021.97830023979	2021-12-24
BA115_208	1	2021.99634942577	2021-12-30
BA115_209	1	2022.02369818569	2022-01-09
BA115_210	1	2022.01093710239	2022-01-04
BA115_211	2	2021.98662745157	2021-12-27
BA115_212	1	2022.01262221419	2022-01-05
BA115_213	2	2021.93710167713	2021-12-09
BA115_214	4	2021.94981271353	2021-12-13
BA115_215	1	2022.03921691423	2022-01-15
BA115_216	3	2021.98037668039	2021-12-24
BA115_217	1	2022.00296319624	2022-01-02
BA115_218	1	2022.0312845352	2022-01-12
BA115_220	1	2022.03823408198	2022-01-14
BA115_221	1	2022.01639858253	2022-01-06
BA115_222	1	2022.02876118201	2022-01-11
BA115_223	19	2021.94637888909	2021-12-12
BA115_224	1	2021.94178172936	2021-12-10
BA115_225	1	2022.00830789049	2022-01-04
BA115_226	1	2022.0030963678	2022-01-02
BA115_227	1	2022.01171230629	2022-01-05
BA115_228	1	2022.00427260086	2022-01-02
BA115_229	1	2022.00382108892	2022-01-02
BA115_230	1	2021.96577897098	2021-12-19
BA115_231	1	2021.98535866375	2021-12-26
BA115_232	4	2021.95990883665	2021-12-17
BA115_233	1	2022.04259247901	2022-01-16
BA115_234	1	2022.02412203366	2022-01-09
BA115_235	1	2022.02665818791	2022-01-10
BA115_236	1	2022.00065232188	2022-01-01
BA115_237	3	2021.99095732795	2021-12-28
BA115_238	1	2022.04632814646	2022-01-17
BA115_239	1	2022.04674132586	2022-01-18
BA115_240	1	2022.05341503498	2022-01-20
BA115_241	1	2022.01131308553	2022-01-05
BA115_242	7	2021.9624894749	2021-12-18
BA115_243	30	2021.94230033595	2021-12-10
BA115_244	1	2022.0061254436	2022-01-03
BA115_245	1	2022.01105609155	2022-01-05
BA115_246	1	2021.98983342215	2021-12-28
BA115_247	7	2021.93961308691	2021-12-09
BA115_248	1	2021.99096974501	2021-12-28
BA115_249	8	2021.93375653551	2021-12-07
BA115_250	4	2021.96572849656	2021-12-19
BA115_251	1	2022.03494350233	2022-01-13
BA115_252	1	2022.00494818443	2022-01-02
BA115_253	2	2022.00299971198	2022-01-02
BA115_254	1	2021.96333616531	2021-12-18
BA115_255	1	2021.99961089433	2021-12-31
BA115_256	1	2021.99287059671	2021-12-29
BA115_257	2	2022.00512973319	2022-01-02
BA115_258	1	2022.03056141575	2022-01-12
BA115_259	3	2021.96446164543	2021-12-19
BA115_260	1	2021.99545053402	2021-12-30
BA115_261	1	2022.00953565363	2022-01-04
BA115_262	2	2022.00004525897	2022-01-01
BA115_263	1	2021.94166606014	2021-12-10
BA115_264	1	2022.04130011645	2022-01-16
BA115_265	1	2022.01731677113	2022-01-07
BA115_266	1	2022.02972466221	2022-01-11
BA115_267	1	2021.94717010786	2021-12-12
BA115_268	1	2021.9455908581	2021-12-12
BA115_269	1	2022.01817570464	2022-01-07
BA115_270	1	2022.00889794533	2022-01-04
BA115_271	1	2022.02087291575	2022-01-08
BA115_272	1	2022.04814370397	2022-01-18
BA115_273	1	2022.05431746514	2022-01-20
BA115_274	2	2022.02395704034	2022-01-09
BA115_275	1	2022.02804084949	2022-01-11
BA115_276	2	2022.00418855902	2022-01-02
BA115_277	1	2022.00398752264	2022-01-02
BA115_278	1	2022.01007817389	2022-01-04
BA115_279	1	2022.02402268359	2022-01-09
BA115_280	1	2022.02753340523	2022-01-11
BA115_281	1	2021.92405773292	2021-12-04
BA115_282	1	2022.02589482114	2022-01-10
BA115_283	1	2021.95273739736	2021-12-14
BA115_284	1	2022.00802712823	2022-01-03
BA115_285	1	2022.03185059491	2022-01-12
BA115_286	1	2022.01938020539	2022-01-08
BA115_287	4	2021.93765647489	2021-12-09
BA115_288	1	2022.02557601898	2022-01-10
BA115_289	1	2022.0195806655	2022-01-08
BA115_290	1	2022.03745390799	2022-01-14
BA115_291	1	2021.99957941747	2021-12-31
BA115_292	1	2022.04185270678	2022-01-16
BA115_293	1	2022.00636187452	2022-01-03
BA115_294	1	2022.03647519127	2022-01-14
BA115_295	1	2021.98661876176	2021-12-27
BA115_296	1	2022.0150532067	2022-01-06
BA115_297	1	2022.05329796839	2022-01-20
BA115_298	1	2022.02735796263	2022-01-10
BA115_299	1	2021.95487939915	2021-12-15
BA115_300	1	2022.00468743449	2022-01-02
BA115_301	1	2022.01623898866	2022-01-06
BA115_302	1	2022.00740725987	2022-01-03
BA115_303	1	2022.02575173608	2022-01-10
BA115_304	1	2022.00714876833	2022-01-03
BA115_305	1	2022.0077632248	2022-01-03
BA115_306	1	2021.99878165343	2021-12-31
BA115_307	1	2022.02821473076	2022-01-11
BA115_308	1	2022.03602812602	2022-01-14
BA115_309	1	2022.00960958809	2022-01-04
BA115_310	2	2021.93987095247	2021-12-10
BA115_311	1	2022.02634888594	2022-01-10
BA115_312	2	2021.96110479334	2021-12-17
BA115_313	1	2021.95914547926	2021-12-17
BA115_314	2	2021.96365927864	2021-12-18
BA115_315	2	2021.99048470625	2021-12-28
BA115_316	1	2022.04879639707	2022-01-18
BA115_317	1	2022.01353471288	2022-01-05
BA115_318	1	2022.04930910168	2022-01-18
BA115_319	1	2021.97761051469	2021-12-23
BA115_320	2	2021.95559473499	2021-12-15
BA115_321	1	2021.95254037645	2021-12-14
BA115_322	2	2022.0159606587	2022-01-06
BA115_323	1	2022.03078855773	2022-01-12
BA115_324	1	2022.02729420764	2022-01-10
BA115_325	1	2022.00131744688	2022-01-01
BA115_326	1	2022.00186876579	2022-01-01
BA115_327	1	2021.96380995514	2021-12-18
BA115_328	1	2021.9511668555	2021-12-14
BA115_329	8	2021.9671417871	2021-12-20
BA115_330	1	2022.05552732623	2022-01-21
BA115_331	1	2022.00535081808	2022-01-02
BA115_332	1	2022.01569251985	2022-01-06
BA115_333	1	2022.00606772326	2022-01-03
BA115_334	1	2022.01490431016	2022-01-06
BA115_335	1	2022.06057292617	2022-01-23
BA115_336	1	2022.01410103017	2022-01-06
BA115_337	1	2022.03140682121	2022-01-12
BA115_338	1	2022.03482235538	2022-01-13
BA115_339	2	2022.02857229981	2022-01-11
BA115_340	1	2022.02984288774	2022-01-11
BA115_341	1	2022.02446358859	2022-01-09
BA115_342	1	2022.01779053284	2022-01-07
BA115_343	4	2021.98542032431	2021-12-26
BA115_344	1	2021.98235371008	2021-12-25
BA115_345	1	2021.98057368657	2021-12-24
BA115_346	1	2022.02053117003	2022-01-08
BA115_347	1	2021.96614447954	2021-12-19
BA115_348	1	2021.95618415722	2021-12-16
BA115_349	1	2021.94143947171	2021-12-10
BA115_350	1	2021.97468118043	2021-12-22
BA115_351	1	2022.03256661716	2022-01-12
BA115_352	1	2022.02584623854	2022-01-10
BA115_353	3	2021.9772013596	2021-12-23
BA115_354	1	2022.02395835809	2022-01-09
BA115_355	1	2021.98609217527	2021-12-26
BA115_356	1	2021.98436910797	2021-12-26
BA115_357	2	2021.98536158422	2021-12-26
BA115_358	2	2021.98053841414	2021-12-24
BA115_359	1	2021.99418115891	2021-12-29
BA115_360	24	2021.93518889063	2021-12-08
BA115_361	2	2022.01088619559	2022-01-04
BA115_362	1	2022.05552705863	2022-01-21
BA115_363	42	2021.93029135113	2021-12-06
BA115_364	1	2021.99305814955	2021-12-29
BA115_365	1	2021.98582405537	2021-12-26
BA115_366	1	2022.01606811522	2022-01-06
BA115_367	2	2021.96307396604	2021-12-18
BA115_368	1	2022.0248107198	2022-01-10
BA115_369	1	2022.03149585169	2022-01-12
BA115_370	1	2021.95371505557	2021-12-15
BA115_371	1	2022.00041108043	2022-01-01
BA115_372	3	2021.97289543357	2021-12-22
BA115_373	1	2021.95169490128	2021-12-14
BA115_374	1	2021.94970986212	2021-12-13
BA115_375	4	2021.96998457162	2021-12-21
BA115_376	1	2022.04954287614	2022-01-19
BA115_377	1	2022.01729930387	2022-01-07
BA115_378	3	2021.95345831273	2021-12-15
BA115_379	2	2022.00434942022	2022-01-02
BA115_380	1	2021.99974630931	2021-12-31
BA115_381	1	2022.00255991109	2022-01-01
BA115_382	1	2022.00887314383	2022-01-04
BA115_383	1	2022.0485600661	2022-01-18
BA115_384	1	2022.01046566691	2022-01-04
BA115_385	1	2021.9523924185	2021-12-14
BA115_386	1	2022.01565924068	2022-01-06
BA115_387	1	2022.06065070987	2022-01-23
BA115_388	1	2021.96262723589	2021-12-18
BA115_389	1	2021.99355436472	2021-12-29
BA115_390	1	2022.00883816777	2022-01-04
BA115_391	1	2021.99206829683	2021-12-29
BA115_392	1	2021.99916925307	2021-12-31
BA115_393	1	2021.98883538218	2021-12-27
BA115_394	1	2022.01766581408	2022-01-07
BA115_395	1	2021.99878956564	2021-12-31
BA115_396	1	2022.03701049437	2022-01-14
BA115_397	2	2022.00316871373	2022-01-02
BA115_398	1	2021.96553941549	2021-12-19
BA115_399	1	2021.92412370618	2021-12-04
BA115_400	1	2022.00074930606	2022-01-01
BA115_401	1	2022.00685670678	2022-01-03
BA115_402	1	2021.96031442043	2021-12-17
BA115_403	4	2021.94945113336	2021-12-13
BA115_404	1	2021.99524453716	2021-12-30
BA115_405	2	2021.97575369979	2021-12-23
BA115_406	6	2021.95142497471	2021-12-14
BA115_408	16	2021.94081025303	2021-12-10
BA115_409	5	2021.95618534508	2021-12-16
BA115_410	1	2022.00639217963	2022-01-03
BA115_411	1	2021.99189266449	2021-12-29
BA115_412	1	2022.05523961242	2022-01-21
BA115_413	1	2022.05448684464	2022-01-20
BA115_414	1	2022.0209934117	2022-01-08
BA115_415	1	2022.02037886198	2022-01-08
BA115_416	1	2022.01078588657	2022-01-04
BA115_417	1	2022.02746480115	2022-01-11
BA115_418	4	2021.92216407295	2021-12-03
BA115_419	1	2022.05202697552	2022-01-19
BA115_420	2	2022.036137945	2022-01-14
BA115_421	1	2022.07508269362	2022-01-28
BA115_422	1	2022.02824426905	2022-01-11
BA115_423	1	2022.03401853786	2022-01-13
BA115_424	1	2022.0226733669	2022-01-09
BA115_425	1	2022.01457551007	2022-01-06
BA115_426	1	2022.04099615366	2022-01-15
BA115_427	1	2022.02459258581	2022-01-09
BA115_428	1	2021.9796114631	2021-12-24
BA115_429	2	2021.99768607349	2021-12-31
BA115_430	1	2022.00627174857	2022-01-03
BA115_431	1	2022.02198390135	2022-01-09
BA115_432	2	2022.03149799991	2022-01-12
BA115_433	1	2021.99796629156	2021-12-31
BA115_434	2	2022.01465566387	2022-01-06
BA115_435	3	2022.00436370769	2022-01-02
BA115_436	2	2021.98181104961	2021-12-25
BA115_437	1	2022.01044231378	2022-01-04
BA115_438	2	2021.97697549858	2021-12-23
BA115_439	2	2021.96739352139	2021-12-20
BA115_440	1	2021.99371539052	2021-12-29
BA115_441	2	2022.00336266213	2022-01-02
BA115_442	1	2021.9981259957	2021-12-31
BA115_443	1	2021.99912455187	2021-12-31
BA115_444	1	2022.01497252659	2022-01-06
BA115_445	1	2021.99551175336	2021-12-30
BA115_446	4	2021.95311044736	2021-12-14
BA115_447	1	2021.964887318	2021-12-19
BA115_448	1	2021.96427322333	2021-12-18
BA115_449	1	2022.01485903917	2022-01-06
BA115_450	1	2022.00931992803	2022-01-04
BA115_451	8	2021.93563868679	2021-12-08
BA115_452	4	2021.9815171651	2021-12-25
BA115_453	4	2021.96945055388	2021-12-20
BA115_454	1	2021.99580070291	2021-12-30
BA115_455	1	2022.01493451044	2022-01-06
BA115_456	1	2022.01232639213	2022-01-05
BA115_457	2	2021.98871326312	2021-12-27
BA115_458	1	2022.00169756724	2022-01-01
BA115_459	1	2021.97721760773	2021-12-23
BA115_460	1	2021.99659816578	2021-12-30
BA115_461	2	2022.00234640065	2022-01-01
BA115_462	1	2022.02005532926	2022-01-08
BA115_463	1	2021.99386532739	2021-12-29
BA115_464	1	2021.99439003268	2021-12-29
BA115_465	1	2021.99531756151	2021-12-30
BA115_466	1	2022.00700211514	2022-01-03
BA115_467	1	2022.01412152168	2022-01-06
BA115_468	1	2022.00085235513	2022-01-01
BA115_469	1	2021.99930947099	2021-12-31
BA115_470	1	2022.01568578556	2022-01-06
BA115_471	3	2021.95261012702	2021-12-14
BA115_472	1	2022.04584738525	2022-01-17
BA115_473	1	2022.01681121082	2022-01-07
BA115_474	2	2021.99372360679	2021-12-29
BA115_475	1	2021.99373371212	2021-12-29
BA115_476	1	2021.95366718212	2021-12-15
BA115_477	2	2022.02818080838	2022-01-11
BA115_478	1	2021.983511433	2021-12-25
BA115_479	1	2022.04951723184	2022-01-19
BA115_480	1	2022.02436819568	2022-01-09
BA115_481	1	2021.98381296062	2021-12-26
BA115_482	9	2021.95380874269	2021-12-15
BA115_483	1	2021.98780303845	2021-12-27
BA115_484	1	2022.02613299594	2022-01-10
